Scenario,Intent,Tone,Generated_Email,Metric1_Fact_Recall,Metric2_Tone_Score,Metric3_Format_Score,Average_Score
1,Follow up after job interview,Formal,Subject: Follow-Up – Software Engineer Interview,0.67,0.8,0.33,0.6
2,Request deadline extension,Polite,Subject: Request for Brief Deadline Extension for Project Submission,0.33,0.9,0.33,0.52
3,Thank you after business meeting,Warm and professional,Subject: Thank you for Our Productive Meeting,0.33,0.9,0.67,0.63
4,Complaint about delayed delivery,Firm but polite,Subject: Urgent: Delayed Delivery of Order #12345,0.67,0.8,0.33,0.6
5,Request for project proposal,Formal,Subject: Proposal for TechCorp Project - Request for Project Details,0.33,0.8,0.33,0.49
6,Apology for missing meeting,Apologetic,Subject: Apology and Rescheduling of Yesterday's Meeting,0.33,0.9,0.33,0.52
7,Salary increment request,Confident and respectful,Subject: Request for Salary Increment Review,0.33,0.8,0.33,0.49
8,Welcome new team member,Friendly and warm,"Subject: Welcome to the Team, Priya!",0.33,0.8,0.33,0.49
9,Request for feedback on project,Professional,Subject: Request for Feedback - Project Submission for ABC Corp,1.0,0.9,0.33,0.74
10,Invitation to company event,Formal and exciting,Subject: You're Invited: Annual Dinner at Hotel Taj,0.67,0.8,0.33,0.6
